,Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches),Year
6850,1957-01-01,11.0,-3.0,0.00,0.00,0.00,1957
6851,1957-01-02,27.0,0.0,0.00,0.00,0.00,1957
6852,1957-01-03,35.0,19.0,0.10,1.10,0.00,1957
6853,1957-01-04,19.0,6.0,T,T,1.00,1957
6854,1957-01-05,25.0,3.0,T,T,1.00,1957
6855,1957-01-06,32.0,12.0,T,T,T,1957
6856,1957-01-07,31.0,19.0,0.00,0.00,T,1957
6857,1957-01-08,33.0,-3.0,0.00,0.00,T,1957
6858,1957-01-09,0.0,-8.0,0.00,0.00,T,1957
6859,1957-01-10,13.0,-9.0,0.00,0.00,T,1957
6860,1957-01-11,16.0,3.0,0.00,0.00,T,1957
6861,1957-01-12,9.0,-4.0,0.02,0.30,T,1957
6862,1957-01-13,-2.0,-8.0,0.00,0.00,T,1957
6863,1957-01-14,14.0,-9.0,0.00,0.00,T,1957
6864,1957-01-15,8.0,-4.0,0.00,0.00,T,1957
6865,1957-01-16,3.0,-11.0,0.01,0.20,T,1957
6866,1957-01-17,15.0,0.0,0.03,0.30,T,1957
6867,1957-01-18,25.0,-3.0,0.02,0.50,1.00,1957
6868,1957-01-19,38.0,14.0,T,T,1.00,1957
6869,1957-01-20,37.0,19.0,0.00,0.00,1.00,1957
6870,1957-01-21,39.0,10.0,T,T,1.00,1957
6871,1957-01-22,10.0,-2.0,0.00,0.00,T,1957
6872,1957-01-23,20.0,-5.0,T,T,T,1957
6873,1957-01-24,19.0,-2.0,T,T,T,1957
6874,1957-01-25,4.0,-5.0,0.02,0.20,T,1957
6875,1957-01-26,13.0,-8.0,0.00,0.00,T,1957
6876,1957-01-27,24.0,-3.0,0.00,0.00,T,1957
6877,1957-01-28,24.0,9.0,0.11,2.10,T,1957
6878,1957-01-29,15.0,-12.0,0.01,0.20,2.00,1957
6879,1957-01-30,28.0,-13.0,0.00,0.00,2.00,1957
6880,1957-01-31,28.0,6.0,T,T,2.00,1957
6881,1957-02-01,19.0,6.0,0.01,0.10,1.00,1957
6882,1957-02-02,16.0,4.0,0.26,2.80,2.00,1957
6883,1957-02-03,14.0,-7.0,0.01,0.10,4.00,1957
6884,1957-02-04,24.0,2.0,0.00,0.00,4.00,1957
6885,1957-02-05,35.0,14.0,0.00,0.00,4.00,1957
6886,1957-02-06,40.0,12.0,T,T,3.00,1957
6887,1957-02-07,29.0,15.0,0.00,0.00,2.00,1957
6888,1957-02-08,35.0,13.0,0.05,0.00,2.00,1957
6889,1957-02-09,35.0,26.0,T,0.00,1.00,1957
6890,1957-02-10,33.0,22.0,T,T,1.00,1957
6891,1957-02-11,36.0,28.0,0.00,0.00,1.00,1957
6892,1957-02-12,40.0,30.0,0.00,0.00,1.00,1957
6893,1957-02-13,36.0,17.0,0.00,0.00,1.00,1957
6894,1957-02-14,28.0,7.0,T,0.10,T,1957
6895,1957-02-15,35.0,19.0,0.01,0.10,T,1957
6896,1957-02-16,19.0,1.0,T,T,T,1957
6897,1957-02-17,33.0,0.0,0.00,0.00,T,1957
6898,1957-02-18,26.0,3.0,T,T,T,1957
6899,1957-02-19,16.0,-2.0,0.00,0.00,T,1957
6900,1957-02-20,26.0,8.0,T,0.10,T,1957
6901,1957-02-21,30.0,0.0,0.44,4.80,1.00,1957
6902,1957-02-22,7.0,-5.0,0.01,0.20,5.00,1957
6903,1957-02-23,27.0,3.0,0.01,0.20,5.00,1957
6904,1957-02-24,39.0,27.0,0.01,0.00,5.00,1957
6905,1957-02-25,40.0,30.0,0.00,0.00,1.00,1957
6906,1957-02-26,30.0,14.0,0.00,0.00,T,1957
6907,1957-02-27,34.0,12.0,T,T,T,1957
6908,1957-02-28,40.0,28.0,0.02,0.20,T,1957
6909,1957-03-01,32.0,11.0,0.01,0.10,T,1957
6910,1957-03-02,11.0,-1.0,0.00,0.00,T,1957
6911,1957-03-03,25.0,5.0,0.04,0.60,T,1957
6912,1957-03-04,34.0,20.0,0.02,0.40,1.00,1957
6913,1957-03-05,31.0,19.0,0.01,0.10,1.00,1957
6914,1957-03-06,19.0,10.0,T,T,T,1957
6915,1957-03-07,26.0,7.0,0.00,0.00,T,1957
6916,1957-03-08,28.0,12.0,0.07,1.40,T,1957
6917,1957-03-09,27.0,12.0,T,T,1.00,1957
6918,1957-03-10,42.0,22.0,0.00,0.00,T,1957
6919,1957-03-11,52.0,32.0,0.00,0.00,T,1957
6920,1957-03-12,39.0,26.0,0.00,0.00,0.00,1957
6921,1957-03-13,40.0,26.0,0.02,0.00,0.00,1957
6922,1957-03-14,37.0,27.0,0.67,0.30,0.00,1957
6923,1957-03-15,30.0,19.0,0.37,3.90,2.00,1957
6924,1957-03-16,29.0,16.0,0.00,0.00,4.00,1957
6925,1957-03-17,37.0,18.0,0.00,0.00,2.00,1957
6926,1957-03-18,33.0,29.0,T,T,1.00,1957
6927,1957-03-19,37.0,24.0,0.00,0.00,1.00,1957
6928,1957-03-20,45.0,25.0,0.00,0.00,T,1957
6929,1957-03-21,54.0,30.0,0.00,0.00,T,1957
6930,1957-03-22,56.0,31.0,0.00,0.00,0.00,1957
6931,1957-03-23,57.0,37.0,0.00,0.00,0.00,1957
6932,1957-03-24,46.0,31.0,0.00,0.00,0.00,1957
6933,1957-03-25,44.0,26.0,0.00,0.00,0.00,1957
6934,1957-03-26,48.0,25.0,0.00,0.00,0.00,1957
6935,1957-03-27,50.0,27.0,0.02,0.00,0.00,1957
6936,1957-03-28,47.0,30.0,0.01,T,0.00,1957
6937,1957-03-29,43.0,30.0,0.00,0.00,0.00,1957
6938,1957-03-30,53.0,27.0,0.00,0.00,0.00,1957
6939,1957-03-31,45.0,34.0,0.07,0.20,T,1957
6940,1957-04-01,52.0,34.0,0.00,0.00,0.00,1957
6941,1957-04-02,42.0,28.0,0.00,0.00,0.00,1957
6942,1957-04-03,47.0,29.0,0.00,0.00,0.00,1957
6943,1957-04-04,33.0,27.0,0.70,7.20,2.00,1957
6944,1957-04-05,35.0,30.0,0.04,0.20,5.00,1957
6945,1957-04-06,43.0,28.0,0.00,0.00,5.00,1957
6946,1957-04-07,40.0,30.0,0.00,0.00,2.00,1957
6947,1957-04-08,45.0,23.0,T,0.00,T,1957
6948,1957-04-09,38.0,22.0,0.00,0.00,0.00,1957
6949,1957-04-10,38.0,24.0,0.25,2.20,0.00,1957
